stage,stage_num,cell_type,devvcell_system,perturbation,rescuer_perturbation,source_response_norm,rescuer_response_norm,optimal_rescuer_dose,minimal_rescue_cost,rescue_fraction,source_transfer_confidence,rescuer_transfer_confidence,response_recovery_class,recovery_cost,off_manifold_score
Theiler stage 24,24.0,hypothalamus cell,neural,KO_PAX3,RA_hGas_120h,0.6198701941999739,1.0793247308497913,0.028812970768806206,0.619089603955672,0.001259280171245103,0.6646320750008167,0.6646320750008167,reversible_response,1.106279425063906,1.099003263985204
Theiler stage 21,21.0,myofibroblast cell,mesoderm,RA_hGas_120h,KO_TBX6,0.6244697665584875,0.5251455340717541,0.12879917896139395,0.6207958987265911,0.005883179664795346,0.384539170520317,0.384539170520317,reversible_response,1.0666355853705793,1.0666355853705796
Theiler stage 16,16.0,megakaryocyte,hematopoietic,KO_TBX6,RA_hGas_120h,0.624563610084862,0.7426914378697332,0.09108557695184478,0.6208891901546396,0.005883179664795346,0.45733831286165266,0.45733831286165266,reversible_response,1.1961674244884475,1.1961674244884475
Theiler stage 20,20.0,primitive erythroid progenitor,hematopoietic,KO_TBX6,RA_hGas_120h,0.6250332337936061,0.7432498846025766,0.09108557695184478,0.6213560509827302,0.005883179664795568,0.45768219603250787,0.45768219603250787,reversible_response,1.1970668502204247,1.1951085628837959
Theiler stage 27,27.0,myeloid suppressor cell,hematopoietic,KO_PAX3,RA_hGas_120h,0.6225029081448774,1.083908841033787,0.02881297076880623,0.6217190025761081,0.001259280171245103,0.6674549016965624,0.6674549016965624,reversible_response,1.1114340237739384,1.1076509123239746
Theiler stage 23,23.0,Cajal-Retzius cell,neural,KO_TBX6,RA_hGas_120h,0.6254812118796513,0.7437825917335827,0.09108557695184483,0.6218013935332095,0.005883179664795235,0.45801022914036565,0.45801022914036565,reversible_response,1.1979248201449602,1.1979248201449602
Theiler stage 20,20.0,megakaryocyte,hematopoietic,RA_hGas_120h,KO_TBX6,0.6263822747546107,0.526753850745922,0.12879917896139392,0.6226971552933861,0.005883179664795457,0.38571686454929066,0.38571686454929066,reversible_response,1.0699022756229197,1.06990227562292
Theiler stage 27,27.0,Cajal-Retzius cell,neural,KO_TBX6,RA_hGas_120h,0.6268947432453205,0.7454634735933185,0.0910855769518448,0.6232066088398925,0.005883179664795235,0.4590452911252678,0.4590452911252678,reversible_response,1.200632022655328,1.200632022655328
Theiler stage 25,25.0,amacrine cell,neural,KO_TBX6,RA_hGas_120h,0.62690178160277,0.7454718431616539,0.09108557695184477,0.6232136057894206,0.005883179664795235,0.45905044498064673,0.45905044498064673,reversible_response,1.2006455025535594,1.2006455025535596
Theiler stage 21,21.0,cerebral cortex GABAergic interneuron,neural,KO_PAX3,RA_hGas_120h,0.6242640169583705,1.08697530287355,0.028812970768806196,0.6234778936601931,0.001259280171244992,0.6693431831722105,0.6693431831722105,reversible_response,1.1069996620680556,1.1069996620680556
Theiler stage 14,14.0,glutamatergic neuron,neural,KO_PAX3,RA_hGas_120h,0.6242704448083378,1.086986495115895,0.02881297076880622,0.6234843134156963,0.001259280171245103,0.6693500751881544,0.6693500751881544,reversible_response,1.1145898329441994,1.1135397698594423
Theiler stage 25,25.0,lateral mesodermal cell,mesoderm,KO_PAX3,RA_hGas_120h,0.6247169063923769,1.087763878886782,0.02881297076880621,0.6239302127795153,0.001259280171245214,0.6698287765223764,0.6698287765223764,reversible_response,1.1153869578866158,1.1022609749148589
Theiler stage 26,26.0,retinal ganglion cell,neural,RA_hGas_120h,KO_TBX6,0.6279699094472734,0.5280889662522883,0.12879917896139392,0.6242754496459098,0.005883179664795457,0.3866945063191563,0.3866945063191563,reversible_response,1.0726140604849725,1.0726140604849725
Theiler stage 18,18.0,glutamatergic neuron,neural,KO_PAX3,RA_hGas_120h,0.6252376595465827,1.0886706199484777,0.02881297076880624,0.6244503101596001,0.001259280171244992,0.6703871341473785,0.6703871341473785,reversible_response,1.1071165064271489,1.1071165064271489
Theiler stage 27,27.0,hematopoietic stem cell,hematopoietic,KO_PAX3,RA_hGas_120h,0.6255340816451992,1.0891867533338229,0.028812970768806213,0.6247463589797453,0.001259280171245214,0.6707049613897962,0.6707049613897962,reversible_response,1.1168459653345961,1.103811834220932
Theiler stage 20,20.0,enteric neuron,neural,RA_hGas_120h,KO_TBX6,0.6288051493966913,0.5287913581899036,0.12879917896139398,0.6251057757286421,0.005883179664795235,0.3872088346254002,0.3872088346254002,reversible_response,1.0740407054565653,1.0740407054565653
Theiler stage 24,24.0,adipose macrophage,hematopoietic,KO_PAX3,RA_hGas_120h,0.6259319994720944,1.0898796121862613,0.02881297076880621,0.6251437757166115,0.001259280171244992,0.6711316135396235,0.6711316135396235,reversible_response,1.1157003750037486,1.1157003750037486
Theiler stage 25,25.0,hypothalamus cell,neural,KO_PAX3,RA_hGas_120h,0.6259874150197654,1.0899761023411914,0.028812970768806213,0.625199121480582,0.001259280171245214,0.6711910307382248,0.6711910307382248,reversible_response,1.1176553593631426,1.111023876805017
Theiler stage 27,27.0,enteric neuron,neural,RA_hGas_120h,KO_TBX6,0.6294172698693765,0.5293061186310952,0.1287991789613939,0.62571429498661,0.005883179664795346,0.38758576928489874,0.38758576928489874,reversible_response,1.0750862476327672,1.0750862476327672
